GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.5_1,Bench Maji,ETH.10.5.2_1,Debub Bench
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.5_1,Bench Maji,ETH.10.5.3_1,Gurafereda
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.4_1,Basketo,ETH.10.4.1_1,Basketo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.5_1,Bench Maji,ETH.10.5.1_1,Bero
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.13_1,Mirab Abaya
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.14_1,Ubadebretsehay
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.11_1,Kucha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.12_1,Melekoza
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.11_1,Gedeo,ETH.10.11.2_1,Dila Zuria
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.11_1,Gedeo,ETH.10.11.3_1,Kochere
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.15_1,Zala
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.11_1,Gedeo,ETH.10.11.1_1,Bule
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.11_1,Gedeo,ETH.10.11.6_1,Yirgachefe
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.1_1,Abeshege
