GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.5_1,Guji,ETH.8.5.1_1,Adola
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.4_1,Debub Mirab Shewa,ETH.8.4.11_1,Tole
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.4_1,Debub Mirab Shewa,ETH.8.4.12_1,Waliso
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.5_1,Guji,ETH.8.5.4_1,Bore
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.5_1,Guji,ETH.8.5.5_1,Girja (Harenfema)
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.5_1,Guji,ETH.8.5.2_1,Afele Kola
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.5_1,Guji,ETH.8.5.3_1,Ana Sora
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.5_1,Guji,ETH.8.5.8_1,Kercha
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.5_1,Guji,ETH.8.5.9_1,Liben
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.5_1,Guji,ETH.8.5.6_1,Goro Dola
ETH,Ethiopia,ETH.8_1,Oromia,ETH.8.5_1,Guji,ETH.8.5.7_1,Hambela Wamena
